"Year","GS"
1996,16.0
1997,17.45
1998,17.25
1999,17.57894736842105
2000,12.32
2001,12.36
2002,13.75
2003,12.095238095238095
2004,11.545454545454545
2005,10.964285714285714
2006,11.52
2007,11.08
2008,9.5
2009,10.692307692307692
2010,10.884615384615385
2011,12.464285714285714
2012,10.5625,1.5,1.59375
2013,8.0,1.1724137931034482
2014,11.161290322580646
2015,11.827586206896552
